Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations,Scientific Research
Giardiasis,गार्डियासिस,गार्डियासिस,"Diarrhea, nausea, bloating","Stool Test, Blood Tests",Moderate,2-4 weeks,"Parasitic infection, Contaminated water",Antiparasitic medications,"Contaminated Water, Poor Sanitation","Contaminated water, Poor sanitation",Irregular sleep,Moderate stress,Low,No family history,"Balanced, Hydrating foods",None,All seasons,All ages,Both genders,Poor sanitation areas,Avoids unclean water,None specific,None specific,"Neem leaves (5g), Turmeric (1/2 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid untreated water; drink herbal teas and eat light meals.,None specific,Antiprotozoal Medications,"Safe Water Practices, Hygiene",Can be Managed with Medication,"Dehydration, Malabsorption","Safe Water, Good Hygiene Practices",Research on Giardiasis Treatment
Glomerulonephritis,ग्लोमेरुलोनेफ्रिटिस,ग्लोमेरुलोनेफ्रिटिस,"Swelling, blood in urine, high blood pressure","Urine Tests, Blood Tests, Biopsy",Moderate to Severe,3-6 months,"Kidney inflammation, Infections","Diuretics, Steroids","Infections, Autoimmune Diseases","Infections, Poor hygiene",Irregular sleep,High stress,Low,Family history of kidney disease,"Low-sodium, High-protein",None,All seasons,20-50 years,Both genders,"Sedentary lifestyle, Stress",Avoids salty foods,None specific,None specific,"Punarnava (3g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Avoid salty foods; drink plenty of water and follow low-protein diet.,None specific,"Immunosuppressive Medications, Dialysis","Early Diagnosis, Treatment",Can be Managed with Treatment,"Kidney Failure, High Blood Pressure","Regular Monitoring, Healthy Lifestyle",Research on Glomerulonephritis Treatment
Gout,गाउट,गाउट,"Joint pain, swelling, redness, especially in big toe","Blood Tests, Joint Aspiration",Severe,1-2 weeks,"Uric acid build-up, Obesity",Anti-inflammatory medications,"Obesity, Alcohol, High-purine Foods","High purine foods, Alcohol",Irregular sleep,High stress,Low,Family history of gout,"Low-fat, Low-purine","Alcohol, Shellfish",Cold season,40-60 years,Both genders,Sedentary lifestyle,Avoids alcohol,"Cherries, Ginger",None specific,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid purine-rich foods (like red meat); consume more fruits and vegetables.,"Stretching, Joint Mobility Exercises","Medications (NSAIDs, Uricosuric Drugs)","Healthy Diet, Weight Management",Can be Managed with Medication,"Joint Damage, Kidney Stones","Avoid Trigger Foods, Regular Checkups",Research on Gout Management
Graves Disease,ग्रेव्स रोग,ग्रेव्स रोग,"Hyperthyroidism, weight loss, nervousness, heat intolerance","Blood Tests, Imaging, Physical Exam",Severe,Lifelong,"Hyperthyroidism, Autoimmune",Antithyroid medications,"Family History, Autoimmune Factors","Autoimmune triggers, Stress",Irregular sleep,High stress,Low,Family history of Graves' disease,"Balanced, Iodine-rich",None,All seasons,20-40 years,Female,"Sedentary, High-stress jobs",Avoids excessive iodine,None specific,"Ashwagandha, Brahmi","Ashwagandha (5g), Warm water (200ml)","Pitta, Vata",Pitta-Prakriti,Avoid stimulating foods like caffeine; practice stress reduction.,"Yoga for Thyroid Health, Relaxation","Antithyroid Medications, Surgery","Avoid Stress, Regular Monitoring",Can be Managed with Treatment,"Heart Problems, Thyroid Crisis","Regular Monitoring, Medication",Research on Graves Disease Treatment
Guillain-Barre Syndrome,गुइलन-बैरे सिंड्रोम,गुइलन-बैरे सिंड्रोम,"Weakness, numbness, tingling in limbs, difficulty breathing","Physical Exam, Spinal Fluid Analysis",Severe,1-3 months,"Autoimmune disorder, Viral infection","Immune globulin, Plasma exchange","Viral Infections, Autoimmune Response","Viral infections, Autoimmune triggers",Irregular sleep,High stress,Low,Family history of autoimmune diseases,"Balanced, High-calcium",None,All seasons,20-50 years,Both genders,"Sedentary lifestyle, Stress",Avoids infections,None specific,None specific,"Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Include light exercises; avoid cold or damp environments.,"Physical Therapy, Stretching","Immunoglobulin Therapy, Plasma Exchange","Early Diagnosis, Supportive Care",Can be Managed with Treatment,"Muscle Weakness, Paralysis","Early Intervention, Supportive Care",Research on Guillain-Barre Syndrome
Guinea Worm Disease,गिनी वॉर्म रोग,गिनी वॉर्म रोग,"Painful blisters, swelling, fever","Skin Examination, Urine Test",Severe,3-6 months,"Parasitic infection, Contaminated water",Antiparasitic medications,"Contaminated Water, Poor Sanitation","Contaminated water, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",None,All seasons,All ages,Both genders,Poor sanitation areas,Avoids unclean water,None specific,None specific,"Neem leaves (5-6), Water (as needed)","Kapha, Pitta",Kapha-Prakriti,Maintain hygiene; avoid drinking contaminated water.,None specific,"Surgery, Antimicrobial Medications","Safe Water Practices, Hygiene",Can be Managed with Surgery,"Secondary Infections, Shock","Safe Water, Hygiene Practices",Research on Guinea Worm Disease
HIV/AIDS,एचआईवी/एड्स,एचआयवी/एड्स,"Weight loss, fever, diarrhea, swollen lymph nodes","Blood Tests, CD4 Count, Viral Load",Severe,Lifelong,"Viral infection, Immunodeficiency",Antiretroviral therapy,"Unprotected Sex, Needle Sharing","Unsafe sexual practices, Needle sharing",Irregular sleep,High stress,Low,Family history of HIV/AIDS,"Balanced, High-protein",None,All seasons,20-50 years,Both genders,Sedentary lifestyle,Avoids unprotected sex,None specific,None specific,"Guduchi (3g), Warm water (200ml)","Vata, Pitta",Vata-Pitta,Follow a balanced diet rich in vitamins; avoid exposure to infections.,None specific,Antiretroviral Therapy,"Safe Sex Practices, Needle Safety",Managed with Medication,"Opportunistic Infections, Cancer","Safe Practices, Regular Monitoring",Research on HIV/AIDS Treatment
Hair Loss,बालों का झड़ना,केसांची गळती,"Thinning of hair, bald patches","Physical Exam, Scalp Biopsy",Moderate to Severe,Varies,"Genetic, Hormonal imbalance","Minoxidil, Finasteride","Genetics, Hormonal Imbalances","Stress, Hormonal imbalance",Irregular sleep,High stress,Low,Family history of hair loss,"Balanced, Protein-rich",None,All seasons,20-50 years,Both genders,"Sedentary lifestyle, Stress",Avoids stress,"Saw Palmetto, Aloe Vera","Bhringraj, Amla","Amla (3g), Brahmi (2g), Olive oil (5ml)","Pitta, Kapha",Pitta-Prakriti,Maintain scalp hygiene; avoid stress and use herbal oils for massage.,"Scalp Massage, Stress Reduction","Topical Medications, Surgery","Healthy Diet, Stress Management",Can be Managed with Treatment,"Baldness, Thinning Hair","Stress Management, Healthy Diet",Research on Hair Loss Treatment
"Hand, Foot, and Mouth Disease","हाथ, पैर और मुँह रोग","हात, पाय आणि तोंड रोग","Rash on hands, feet, mouth sores, fever","Physical Exam, Throat Culture",Mild to Moderate,1-2 weeks,Viral infection,Symptomatic treatment,"Poor Hygiene, Contact with Infected Individuals","Close contact, Poor hygiene",Irregular sleep,Moderate stress,Low,No family history,"Low-fat, Hydrating foods",None,All seasons,All ages,Both genders,Poor hygiene areas,Avoids crowded areas,None specific,None specific,"Neem leaves (5-6), Turmeric (1/2 tsp), Water (as needed)",Pitta,Pitta-Prakriti,Avoid spicy foods; maintain hydration and rest.,"Rest, Hydration","Supportive Care, Pain Relief","Handwashing, Avoid Contact",Usually Resolves with Treatment,"Dehydration, Viral Spread","Good Hygiene, Hydration","Research on Hand, Foot, and Mouth Disease Treatment"
Hantavirus Pulmonary Syndrome,हंटावायरस पल्मोनरी सिंड्रोम,हंटावायरस पल्मोनरी सिंड्रोम,"Fever, fatigue, shortness of breath, muscle aches","Blood Tests, Chest X-ray, CT Scan",Severe,2-4 weeks,"Viral infection, Rodent exposure","Supportive care, Antivirals","Rodent Exposure, Poor Sanitation","Rodent exposure, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",None,All seasons,20-60 years,Both genders,Poor sanitation areas,Avoids rodent exposure,None specific,None specific,"Ginger (2g), Garlic (1 clove), Warm water (200ml)","Vata, Kapha",Vata-Kapha,"Avoid contact with rodents; consume warm, nutrient-rich foods.","Breathing Exercises, Physical Therapy","Supportive Care, Oxygen Therapy","Avoid Rodent Contact, Clean Living",Can be Managed with Treatment,"Respiratory Failure, Shock","Clean Environment, Early Diagnosis",Research on Hantavirus Treatment
Hashimoto's Thyroiditis,हैशिमोटो का थायरॉयडाइटिस,हॅशिमोटोस थायरॉइडायटिस,"Fatigue, weight gain, sensitivity to cold","Blood Tests, Thyroid Ultrasound",Moderate to Severe,Lifelong,"Autoimmune, Hypothyroidism",Levothyroxine,"Autoimmune Factors, Family History","Autoimmune disorders, Family history",Irregular sleep,High stress,Low,Family history of Hashimoto's,"Balanced, Iodine-rich",None,All seasons,30-60 years,Female,Sedentary lifestyle,Avoids excessive iodine,None specific,"Ashwagandha, Shatavari","Ashwagandha (5g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid goitrogenic foods like soy; ensure adequate iodine intake.,"Yoga for Thyroid Health, Relaxation",Hormone Replacement Therapy,"Regular Monitoring, Stress Management",Can be Managed with Medication,"Heart Disease, Infertility","Regular Monitoring, Medication",Research on Hashimoto's Treatment
Heart Attack (Myocardial Infarction),दिल का दौरा,हृदयघात,"Chest pain, shortness of breath, dizziness","ECG, Blood Tests, Angiography",Severe,1-3 months,"Cardiovascular disease, Obesity","Antiplatelet drugs, Statins","High Blood Pressure, Smoking, Obesity","Smoking, High blood pressure",Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, High-fiber","Smoking, High-fat foods",Winter season,40-70 years,Both genders,"Sedentary lifestyle, Stress",Avoids smoking,None specific,"Arjuna, Ashwagandha","Arjuna bark (5g), Warm water (200ml)","Pitta, Vata",Pitta-Vata,Avoid fatty foods; practice deep breathing exercises and stress management.,"Physical Therapy, Cardiovascular Exercises","Medications, Surgery, Rehabilitation","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Heart Failure, Stroke","Healthy Diet, Stress Management",Research on Heart Attack Treatment
Heart Disease,हृदय रोग,हृदयरोग,"Chest pain, fatigue, shortness of breath","Blood Tests, ECG, Stress Tests",Severe,Lifelong,"Hypertension, Obesity","Beta-blockers, Statins","High Blood Pressure, Smoking, High Cholesterol","Smoking, High blood pressure, High cholesterol",Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, Low-sodium","Smoking, High-fat foods",Winter season,40-70 years,Both genders,"Sedentary lifestyle, Stress",Avoids smoking,None specific,"Arjuna, Brahmi","Garlic (1 clove), Ginger (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,"Avoid smoking, trans fats; include fiber-rich foods in the diet.","Physical Therapy, Cardiovascular Exercises","Medications, Surgery","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Heart Failure, Stroke","Regular Monitoring, Healthy Lifestyle",Research on Heart Disease Treatment
Heart Failure,हृदय की विफलता,हृदयविफलता,"Shortness of breath, swelling in legs, fatigue","Blood Tests, Chest X-ray, Echocardiogram",Severe,Lifelong,"Cardiovascular disease, Hypertension","Diuretics, ACE inhibitors","Heart Disease, High Blood Pressure","Smoking, Hypertension, Diabetes",Irregular sleep,High stress,Low,Family history of heart disease,"Low-sodium, High-protein","Smoking, High-sodium foods",Winter season,50-80 years,Both genders,"Sedentary lifestyle, Stress",Avoids excessive salt,None specific,"Arjuna, Brahmi","Arjuna (5g), Warm water (200ml)","Pitta, Vata",Pitta-Vata,Avoid excess salt and fluids; eat heart-healthy foods like oats.,"Breathing Exercises, Physical Therapy","Medications, Surgery","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Organ Failure, Fluid Retention","Regular Monitoring, Medication",Research on Heart Failure Management
Hemochromatosis,हेमोक्रोमेटोसिस,हेमोक्रोमेटोसिस,"Fatigue, joint pain, liver enlargement","Blood Tests, Genetic Testing",Moderate to Severe,Lifelong,"Genetic, Iron overload","Phlebotomy, Chelating agents","Genetics, Excessive Iron Intake","Excessive iron intake, Alcohol",Irregular sleep,Moderate stress,Low,Family history of hemochromatosis,"Low-iron, High-fiber",None,All seasons,40-70 years,Both genders,Sedentary lifestyle,Avoids iron-rich foods,None specific,"Amla, Guduchi","Guduchi (3g), Warm water (200ml)","Pitta, Vata",Pitta-Prakriti,Avoid iron-rich foods; increase consumption of antioxidant-rich foods.,None specific,"Phlebotomy, Iron Chelators","Regular Monitoring, Iron Management",Can be Managed with Treatment,"Organ Damage, Diabetes","Regular Monitoring, Iron Management",Research on Hemochromatosis Treatment
Hemophilia,हेमोफीलिया,हेमोफीलिया,"Unexplained bleeding, easy bruising","Blood Tests, Genetic Testing",Severe,Lifelong,"Genetic, Blood clotting disorder",Blood clotting factors,"Genetics, Family History","Genetic mutations, Bleeding events",Irregular sleep,Moderate stress,Low,Family history of hemophilia,"High-protein, Iron-rich",None,All seasons,All ages,Both genders,Sedentary lifestyle,Avoids injury,None specific,None specific,Aloe vera (fresh),Kapha,Kapha-Prakriti,Avoid injury-prone activities; maintain a diet rich in vitamin K.,None specific,Factor Replacement Therapy,"Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Bleeding, Joint Damage","Early Intervention, Regular Monitoring",Research on Hemophilia Treatment
Hendra Virus Infection,हेंड्रा वायरस संक्रमण,हेंड्रा व्हायरस संसर्ग,"Fever, headache, respiratory symptoms","Blood Tests, Viral Culture",Severe,1-3 weeks,"Viral infection, Zoonotic",Antiviral treatment,"Animal Exposure, Poor Hygiene",Close contact with infected animals,Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",None,All seasons,20-60 years,Both genders,Exposure to animals,Avoids animal contact,None specific,None specific,"Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid contact with infected animals; maintain good hygiene.,None specific,"Supportive Care, Antiviral Medications","Avoid Animal Contact, Proper Hygiene",Can be Managed with Treatment,"Respiratory Failure, Organ Damage","Avoid Animal Exposure, Good Hygiene Practices",Research on Hendra Virus Treatment
Hepatitis,हेपेटाइटिस,हिपेटायटिस,"Yellowing of skin, fatigue, loss of appetite","Blood Tests, Liver Function Tests",Moderate to Severe,1-6 months,"Viral infection, Alcoholism",Antiviral medications,"Viral Infections, Alcohol, Drugs","Unprotected sex, Needle sharing",Irregular sleep,Moderate stress,Low,Family history of hepatitis,"Low-fat, High-fiber","Alcohol, Certain foods",All seasons,20-60 years,Both genders,Sedentary lifestyle,Avoids alcohol,None specific,"Bhumi Amla, Turmeric","Turmeric (1/2 tsp), Neem (5-6 leaves), Water (200ml)",Pitta,Pitta-Prakriti,Avoid alcohol and fatty foods; consume liver-detoxifying herbs.,Liver Detoxification Exercises,"Antiviral Medications, Liver Transplant","Vaccination, Avoid Alcohol",Can be Managed with Medication,"Cirrhosis, Liver Failure","Avoid Alcohol, Regular Monitoring",Research on Hepatitis Treatment
Hepatitis A,हेपेटाइटिस A,हिपेटायटिस A,"Jaundice, fever, abdominal pain","Blood Tests, Liver Function Tests",Mild to Moderate,1-2 months,"Viral infection, Contaminated food or water","Supportive care, Vaccination","Contaminated Food/Water, Poor Sanitation",Contaminated food or water,Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",None,Summer season,All ages,Both genders,Poor hygiene areas,Avoids contaminated food,None specific,"Amla, Guduchi","Amla (3g), Water (200ml)","Pitta, Vata",Pitta-Vata,Avoid raw food and unclean water; consume bitter foods like neem.,"Rest, Hydration","Supportive Care, Vaccination","Vaccination, Hygiene Practices",Usually Resolves with Treatment,"Liver Damage, Dehydration","Good Hygiene, Safe Water Practices",Research on Hepatitis A Treatment
Hepatitis B,हेपेटाइटिस B,हिपेटायटिस B,"Jaundice, fatigue, abdominal pain, dark urine","Blood Tests, Liver Function Tests",Moderate to Severe,1-6 months,"Viral infection, Unprotected sex",Antiviral medications,"Blood, Sexual Contact, Birth","Unprotected sex, Needle sharing",Irregular sleep,Moderate stress,Low,Family history of hepatitis,"Low-fat, High-fiber","Alcohol, Certain foods",All seasons,20-60 years,Both genders,Sedentary lifestyle,Avoids alcohol,None specific,"Guduchi, Bhumyamalaki","Neem leaves (5-6), Turmeric (1/2 tsp), Water (as needed)",Pitta,Pitta-Prakriti,Maintain good hygiene; avoid alcohol and greasy foods.,"Yoga for Liver Health, Breathing Exercises","Antiviral Medications, Vaccination","Vaccination, Safe Practices",Can be Managed with Medication,"Cirrhosis, Liver Cancer","Regular Monitoring, Vaccination",Research on Hepatitis B Treatment
Hepatitis C,हेपेटाइटिस C,हिपेटायटिस C,"Fatigue, nausea, dark urine, jaundice","Blood Tests, Liver Function Tests",Moderate to Severe,2-6 months,"Viral infection, Unprotected sex",Antiviral medications,"Blood Exposure, IV Drug Use","Unprotected sex, Needle sharing",Irregular sleep,Moderate stress,Low,Family history of hepatitis,"Low-fat, High-fiber","Alcohol, Certain foods",All seasons,20-60 years,Both genders,Sedentary lifestyle,Avoids alcohol,None specific,"Amla, Guduchi","Guduchi (3g), Amla (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid fatty foods; drink plenty of water and detoxifying herbal teas.,"Liver Detoxification, Breathing Exercises","Antiviral Medications, Liver Transplant","Safe Practices, Needle Safety",Can be Managed with Medication,"Cirrhosis, Liver Cancer","Regular Monitoring, Medication",Research on Hepatitis C Treatment
Histoplasmosis,हिस्टोप्लास्मोसिस,हिस्टोप्लास्मोसिस,"Cough, fever, chest pain, difficulty breathing","Blood Tests, Chest X-ray, Fungal Culture",Moderate to Severe,1-6 months,"Fungal infection, Inhalation",Antifungal medications,Exposure to Bird/Bat Droppings,Exposure to bird or bat droppings,Irregular sleep,Moderate stress,Low,No family history,"Low-fat, Hydrating foods",None,All seasons,20-60 years,Both genders,Exposure to contaminated areas,Avoids contaminated areas,None specific,"Ashwagandha, Guduchi","Ashwagandha (5g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Pitta-Vata,Avoid damp environments; include anti-inflammatory foods like ginger.,Respiratory Exercises,Antifungal Medications,"Avoid Exposure, Wear Masks",Can be Managed with Medication,"Lung Damage, Organ Failure","Avoid Exposure, Regular Checkups",Research on Histoplasmosis Treatment
Hookworm Infection,हुकवर्म संक्रमण,हुकवर्म संसर्ग,"Abdominal pain, nausea, diarrhea","Stool Test, Blood Tests",Mild to Moderate,1-2 months,"Parasitic infection, Poor sanitation",Antiparasitic medications,"Contaminated Soil, Poor Sanitation","Poor sanitation, Contaminated soil",Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",None,All seasons,All ages,Both genders,Poor sanitation areas,Avoids contaminated soil,None specific,None specific,"Neem leaves (5-6), Water (as needed)","Vata, Kapha",Kapha-Prakriti,Avoid walking barefoot in contaminated areas; practice proper hygiene.,None specific,Anthelmintic Medications,"Proper Hygiene, Avoid Barefoot",Can be Managed with Medication,"Anemia, Abdominal Pain","Good Hygiene, Safe Water Practices",Research on Hookworm Treatment
Huntington's Disease,हंटिंग्टन रोग,हंटिंग्टन रोग,"Movement problems, mood swings, cognitive decline","Genetic Testing, Neurological Exam",Severe,Lifelong,"Genetic, Neurodegenerative",Supportive medications,"Genetics, Family History","Genetic mutations, Family history",Irregular sleep,High stress,Low,Family history of Huntington's,"Balanced, High-fiber",None,All seasons,30-50 years,Both genders,Sedentary lifestyle,Avoids stress,None specific,None specific,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid stress; maintain a diet rich in omega-3 fatty acids.,None specific,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Cognitive Decline, Movement Issues","Regular Monitoring, Supportive Care",Research on Huntington's Disease
Hydronephrosis,हाइड्रोनफ्रॉसिस,हायड्रोनफ्रॉसिस,"Swelling, abdominal pain, painful urination","Ultrasound, CT Scan, Urine Test",Moderate to Severe,1-3 months,"Urinary obstruction, Kidney disease","Diuretics, Surgery","Urinary Blockages, Pregnancy","Obesity, Kidney stones, Urinary tract obstruction",Irregular sleep,Moderate stress,Low,Family history of kidney disease,"Low-sodium, Hydrating foods",None,All seasons,20-60 years,Both genders,Sedentary lifestyle,Avoids dehydration,None specific,None specific,"Gokshura (3g), Warm water (200ml)","Kapha, Vata",Kapha-Vata,Avoid excess salt; maintain hydration with fresh herbal teas.,None specific,"Surgery, Catheterization","Early Diagnosis, Avoid Blockages",Can be Managed with Treatment,"Kidney Damage, Infection","Regular Checkups, Hydration",Research on Hydronephrosis Treatment
Hypercholesterolemia,हायपरकोलेस्ट्रोलिमिया,हायपरकोलेस्ट्रोलिमिया,"High cholesterol, chest pain, fatigue",Blood Tests,Moderate to Severe,Lifelong,"Genetic, High-fat diet","Statins, Lipid-lowering drugs","Diet, Genetics, Obesity","High-fat diet, Sedentary lifestyle",Irregular sleep,High stress,Low,Family history of hypercholesterolemia,"Low-fat, High-fiber",None,All seasons,30-70 years,Both genders,Sedentary lifestyle,Avoids high-fat foods,None specific,None specific,"Triphala (1 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid trans fats; consume more fiber and antioxidants.,Cardiovascular Exercises,"Statins, Diet Changes","Healthy Diet, Regular Exercise",Can be Managed with Medication,"Heart Disease, Stroke","Healthy Diet, Regular Exercise",Research on Cholesterol Management
Hyperparathyroidism,हायपरपैरेथायरोइडिज्म,हायपरपैरेथायरोइडिज्म,"Weak bones, kidney stones, fatigue","Blood Tests, Imaging, Biopsy",Moderate to Severe,Lifelong,Parathyroid disorder,"Calcium supplements, Surgery","Calcium Imbalance, Tumors","Calcium imbalance, Kidney disease",Irregular sleep,Moderate stress,Low,Family history of hyperparathyroidism,"Calcium-rich, Low-sodium",None,All seasons,40-70 years,Both genders,Sedentary lifestyle,Avoids high calcium foods,None specific,None specific,"Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Include calcium and vitamin D-rich foods; avoid high-phosphate foods.,None specific,"Surgery, Medications","Regular Monitoring, Surgery",Can be Managed with Treatment,"Kidney Stones, Bone Issues","Regular Checkups, Calcium Monitoring",Research on Hyperparathyroidism Treatment
Hypertension,उच्च रक्तदाब,उच्च रक्तदाब,"High blood pressure, headaches, dizziness",Blood Pressure Measurement,Moderate to Severe,Lifelong,"High blood pressure, Obesity","Antihypertensives, Diuretics","Genetics, Obesity, Stress","High-salt diet, Sedentary lifestyle",Irregular sleep,High stress,Low,Family history of hypertension,"Low-sodium, High-potassium",None,All seasons,30-70 years,Both genders,Sedentary lifestyle,Avoids salt,None specific,"Arjuna, Ashwagandha","Ashwagandha (5g), Warm water (200ml)","Pitta, Vata",Pitta-Prakriti,Avoid salty foods; engage in regular physical activity and deep breathing exercises.,"Yoga for Stress Management, Breathing Exercises","Antihypertensive Medications, Lifestyle Changes","Regular Monitoring, Healthy Diet",Can be Managed with Medication,"Heart Disease, Stroke","Healthy Lifestyle, Regular Monitoring",Research on Hypertension Treatment
Hyperthyroidism,हायपरथायरॉइडिज्म,हायपरथायरॉइडिज्म,"Weight loss, anxiety, tremors, rapid heartbeat","Blood Tests, Imaging, Biopsy",Moderate to Severe,Lifelong,Thyroid dysfunction,"Antithyroid drugs, Surgery","Autoimmune Diseases, Genetics","Stress, Autoimmune disorders",Irregular sleep,High stress,High,Family history of hyperthyroidism,"Balanced, High-protein",None,Winter season,20-60 years,Both genders,Stressful work environments,Avoids cold environments,None specific,"Ashwagandha, Shatavari","Ashwagandha (5g), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid stimulating foods like caffeine; eat cooling foods like cucumbers.,"Yoga for Thyroid Health, Relaxation","Antithyroid Medications, Surgery","Regular Monitoring, Stress Management",Can be Managed with Medication,"Heart Problems, Bone Loss","Regular Monitoring, Medication",Research on Hyperthyroidism Treatment
Hypoglycemia,हाइपोग्लायसीमिया,हायपोग्लायसीमिया,"Shakiness, sweating, dizziness, confusion","Blood Tests, Physical Exam",Mild to Moderate,1-2 days,"Diabetes, Insulin treatment","Glucose, Sugar supplements","Diabetes, Inadequate Diet","Low blood sugar levels, Exercise",Irregular sleep,Moderate stress,Moderate to High,Family history of hypoglycemia,"Low-carbohydrate, High-protein",None,All seasons,20-60 years,Both genders,Active lifestyle,Avoids long fasting,None specific,"Guduchi, Amla","Fenugreek (1 tsp), Warm water (200ml)","Vata, Kapha",Vata-Kapha,"Eat small, frequent meals; avoid sugary foods.","Breathing Exercises, Yoga","Glucose, Medications","Healthy Diet, Regular Monitoring",Usually Resolves with Treatment,"Seizures, Loss of Consciousness","Regular Meals, Avoid Sugar Spikes",Research on Hypoglycemia Management
Hypothyroidism,हायपोथायरॉइडिज्म,हायपोथायरॉइडिज्म,"Fatigue, weight gain, cold intolerance, dry skin","Blood Tests, Imaging, Biopsy",Moderate to Severe,Lifelong,Thyroid dysfunction,Levothyroxine,"Autoimmune Diseases, Genetics","Cold weather, Low iodine intake",Irregular sleep,Moderate stress,Low,Family history of hypothyroidism,"Iodine-rich, Low-fat",None,Winter season,30-70 years,Both genders,Sedentary lifestyle,Avoids cold environments,None specific,"Ashwagandha, Guggulu","Ashwagandha (5g), Turmeric (1/2 tsp), Water (200ml)","Vata, Kapha",Vata-Kapha,Include iodine-rich foods; avoid processed foods and excess dairy.,"Yoga for Thyroid Health, Relaxation",Thyroid Hormone Replacement,"Regular Monitoring, Stress Management",Can be Managed with Medication,"Weight Gain, Fatigue","Regular Monitoring, Medication",Research on Hypothyroidism Treatment
Indigestion,अपच,अपचन,"Bloating, nausea, discomfort after eating","Physical Exam, Endoscopy, Blood Tests",Mild to Moderate,Varies,"Diet, Stress, Overeating","Antacids, Proton-pump inhibitors","Stress, Diet, Overeating","Spicy food, Stress, Overeating",Irregular sleep,High stress,Low,No family history,"Low-fat, Avoids spicy foods",None,All seasons,All ages,Both genders,Stressful work environments,Avoids large meals,"Peppermint, Ginger","Ginger, Triphala","Ajwain (1 tsp), Warm water (200ml)","Pitta, Vata",Pitta-Vata,"Eat small, frequent meals; avoid raw and fried foods.","Rest, Relaxation, Breathing Exercises","Antacids, Proton Pump Inhibitors","Healthy Diet, Stress Management",Usually Resolves with Treatment,"Ulcers, Acid Reflux","Eat Small Meals, Avoid Trigger Foods",Research on Indigestion Treatment
Inflammation,सूजन,सूजन,"Redness, heat, swelling, pain","Blood Tests, Imaging, Physical Exam",Mild to Severe,Varies,"Autoimmune disorders, Infection",Anti-inflammatory drugs,"Infection, Injury, Autoimmune Disease","Infection, Injury, Autoimmune",Irregular sleep,Moderate stress,Low,Family history of inflammatory diseases,Anti-inflammatory foods,None,All seasons,All ages,Both genders,Sedentary lifestyle,Avoids stress,"Turmeric, Ginger","Turmeric, Ashwagandha","Turmeric (1/2 tsp), Ginger (2g), Warm water (200ml)","Vata, Pitta",Vata-Pitta,Include anti-inflammatory foods; avoid processed and fried foods.,"Yoga for Inflammation, Relaxation",Anti-inflammatory Medications,"Healthy Diet, Stress Management",Can be Managed with Medication,"Chronic Pain, Tissue Damage","Healthy Lifestyle, Regular Checkups",Research on Inflammation Treatment
